rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
601,1519.01,1519,272049972,272049972.0,1,FP,23h41m40s,355.416664,+62d55m17.35s,62.921485,1.9,-7.2,2458765.33,1.09589,2.8169999999999997,3970.0,10.0668,31652.09961,3715.0,10.1914,294.851,6083.0,4.32,0.68,12/5/2019 21:41,3/4/2020 12:58
602,152.01,152,403287048,403287048.0,1,FP,22h09m25.8s,332.357482,-62d20m04.03s,-62.334453,-34.716,-109.52600000000001,2458327.923,7.00776,2.68,3666.98999,8.1288,302.510986,1161.0,11.3569,376.849,6347.0,4.23,1.22,9/5/2018 18:34,12/17/2019 10:00
603,1520.01,1520,269238073,269238073.0,1,PC,23h20m55.86s,350.232731,+62d09m40.24s,62.161179000000004,27.666,8.25,2458766.01,6.15501,4.178,690.0,3.8913800000000003,493.779,1313.0,9.68805,196.55,6153.0,4.15,1.5,12/5/2019 21:41,11/17/2020 12:00
604,1521.01,1521,366074069,366074069.0,1,PC,23h47m04.94s,356.770579,+69d02m58.28s,69.049522,-6.51,-11.243,2458768.089,4.1810599999999996,4.574,5180.0,16.9776,1085.44,1599.0,9.78876,317.752,6146.0,3.78,2.31,12/5/2019 21:41,11/17/2020 12:00
605,1522.01,1522,367102581,367102581.0,1,PC,20h57m04.57s,314.26903599999997,+78d40m29.7s,78.67491700000001,15.377,22.668000000000003,2458765.379,2.97962,2.571,590.0,4.456119999999999,3964.58,2210.0,9.39575,303.976,9024.0,4.24,1.89,12/5/2019 21:41,1/9/2021 12:01
606,1523.01,1523,387413037,387413037.0,1,FP,20h44m56.77s,311.236535,+69d09m06.51s,69.15180699999999,-8.477,-15.788,2458738.95,6.726939999999999,2.6489999999999996,1070.0,5.19273,264.81,1123.0,10.3197,305.758,6745.0,4.23,1.53,12/5/2019 21:41,5/20/2020 16:00
607,1524.01,1524,314338017,314338017.0,1,FP,21h16m34.79s,319.144978,+58d46m22.11s,58.772808999999995,-2.003,-4.812,2458719.567,10.95478,4.542,400.0,13.6947,685.523,1425.0,9.1325,792.79,8522.0,4.23,6.79,12/5/2019 21:41,10/19/2020 15:32
608,1525.01,1525,276380902,276380902.0,1,FP,20h32m15.79s,308.06577599999997,+58d19m44.04s,58.328901,1.248,-2.4930000000000003,2458715.193,0.61724,1.228,470.0,6.8685,26097.4,3540.0,10.3202,799.447,9603.0,3.83,3.14,12/5/2019 21:41,5/20/2020 16:00
609,1526.01,1526,313761775,313761775.0,1,FP,21h13m23.42s,318.347586,+56d56m37.44s,56.943732,-29.564,-19.113,2458716.352,1.5312700000000001,1.301,470.0,5.5149300000000006,978.546,1558.0,9.693811,320.06,6298.0,3.77,2.38,12/5/2019 21:41,6/27/2020 12:00
610,1527.01,1527,202375913,202375913.0,1,PC,00h23m51.71s,5.965461,+51d28m05.85s,51.468293,-0.38799999999999996,-1.885,2458768.236,5.06203,3.6830000000000003,2900.0,15.2835,1361.62,1692.0,9.6968,482.20300000000003,7664.0,3.81,2.76,12/5/2019 21:41,10/30/2020 1:59
611,1528.01,1528,285543785,285543785.0,1,PC,00h52m53.29s,13.222022,+60d53m30.07s,60.891684999999995,-4.2,0.4,2458772.167,9.93856,3.92,7390.0,15.2835,1361.62,1692.0,9.716000000000001,392.87800000000004,7664.0,3.81,2.76,12/5/2019 21:41,12/3/2020 12:00
612,1529.01,1529,312259170,312259170.0,1,FP,00h44m10.27s,11.042775,+59d27m52.19s,59.464498,0.435,-0.934,2458764.941,0.8229,2.068,2660.0,15.2835,59083.0,4343.0,10.4049,969.5939999999999,8078.0,3.8,2.76,12/5/2019 21:41,3/4/2020 12:58
613,153.01,153,231081369,231081369.0,1,APC,04h32m17.71s,68.073785,-66d54m58.68s,-66.916299,12.130999999999998,15.615,2459192.226,7.6316429999999995,2.154,6340.0,13.8187,290.101,4343.0,11.7349,436.225,6338.3,4.16,1.49,9/5/2018 18:34,1/29/2021 10:00
614,1530.01,1530,312469860,312469860.0,1,FP,00h51m31.54s,12.881425,+55d42m39.33s,55.710926,16.0,-23.9,2458764.794,0.50261,1.127,1120.0,6.28067,15525.5,4343.0,9.9475,257.461,6941.0,4.16,1.67,12/5/2019 21:41,5/20/2020 16:00
615,1531.01,1531,312678993,312678993.0,1,APC,00h54m23.36s,13.597342999999999,+54d31m40.83s,54.528009,-5.3,-5.1,2458765.0719999997,0.51731,1.339,1880.0,9.43702,4358.75,2263.0,8.3593,257.461,5095.6,4.16,2.18,12/5/2019 21:41,12/3/2020 12:00
616,1532.01,1532,327579226,327579226.0,1,PC,00h18m56.7s,4.736238,+57d12m02.26s,57.200629000000006,13.935,-5.6,2458771.785,8.90592,2.8930000000000002,7070.0,12.8046,299.371,1158.0,10.1786,259.563,6659.0,4.29,1.41,12/5/2019 21:41,11/8/2020 12:00
617,1533.01,1533,345143460,345143460.0,1,PC,23h40m59.21s,355.246721,+57d29m06.87s,57.48524200000001,19.799,-34.45,2458765.708,3.6462,1.7380000000000002,1030.0,2.8086,121.22200000000001,924.0,10.1128,100.051,5053.0,4.48,0.88,12/5/2019 21:41,1/9/2021 12:01
618,1534.01,1534,354600221,354600221.0,1,PC,00h24m17.92s,6.074676,+57d52m54.18s,57.881718000000006,3.1310000000000002,-11.769,2458764.817,1.4185299999999998,2.728,560.0,3.93221,6293.46,2481.0,9.867621,241.204,6329.0,4.08,1.68,12/5/2019 21:41,1/9/2021 12:01
619,1535.01,1535,420288086,420288086.0,1,FP,00h43m51.05s,10.962717,+61d50m08.25s,61.835626,-5.237,0.061,2458769.585,6.534269999999999,3.679,3770.0,20.406098999999998,3017.899902,2064.0,10.4397,694.4910000000001,7715.299805,3.96,2.6,12/5/2019 21:41,3/4/2020 12:58
620,1536.01,1536,445137888,445137888.0,1,PC,00h45m12.58s,11.3024,+56d04m12.21s,56.070057999999996,-0.129,-1.659,2458765.067,2.0139,1.661,690.0,7.370310000000001,5884.18,2439.0,10.3654,795.905,10310.0,4.01,2.68,12/5/2019 21:41,1/9/2021 12:01
621,1537.01,1537,173612049,173612049.0,1,PC,23h14m19.55s,348.58145,+44d30m31.53s,44.508759000000005,-19.88,-21.305,2458739.074,6.49052,2.5789999999999997,1070.0,3.1970099999999997,150.13299999999998,975.0,10.472999999999999,165.58900000000003,5999.0,4.52,0.96,12/5/2019 21:41,1/9/2021 12:01
622,1538.01,1538,177244357,177244357.0,1,PC,23h47m58.97s,356.995693,+47d39m20.16s,47.655601000000004,-10.168,-19.819000000000003,2458768.847,6.54692,4.5889999999999995,2400.0,5.628819999999999,483.652,1306.0,9.8931,160.251,6034.0,4.39,1.12,12/5/2019 21:41,1/9/2021 12:01
623,1539.01,1539,252636888,252636888.0,1,PC,23h06m04.38s,346.51826600000004,+52d47m13.25s,52.787014,-18.88,-17.713,2458740.5719999997,2.58929,3.842,580.0,7.91085,2009.64,1865.0,10.4116,530.347,5855.0,3.45,3.22,12/5/2019 21:41,1/9/2021 12:01
624,154.01,154,389525208,389525208.0,1,FP,20h53m02.75s,313.261454,-38d35m41.72s,-38.594923,-5.023,-10.868,2458329.36,6.747089999999999,2.343,19520.90039,41.3396,433.26300000000003,1271.0,10.0704,402.73400000000004,5910.700195,3.59,2.69,9/5/2018 18:34,12/17/2019 10:00
625,1540.01,1540,318746829,318746829.0,1,FP,23h18m52.47s,349.718625,+56d00m30.95s,56.008598,-1.5619999999999998,-3.3280000000000003,2458769.397,5.23121,3.826,3043.98,41.3396,19.367,584.0,10.4234,2537.64,3593.0,3.59,2.69,12/5/2019 21:41,7/10/2020 18:05
626,1541.01,1541,319068154,319068154.0,1,FP,23h20m26.12s,350.108816,+55d31m26.8s,55.52411,-6.7,-3.1,2458767.318,3.7973800000000004,1.673,3020.0,15.4506,3462.21,584.0,9.7436,581.487,9500.0,3.59,2.36,12/5/2019 21:41,5/29/2020 12:00
627,1542.01,1542,367607434,367607434.0,1,PC,23h15m29.98s,348.874923,+46d34m33.68s,46.576021999999995,-13.724,7.837999999999999,2458744.444,8.2916,3.361,470.0,6.71582,109.06700000000001,900.0,8.40348,161.65,5119.0,3.59,3.1,12/5/2019 21:41,11/17/2020 12:00
628,1543.01,1543,431585347,431585347.0,1,PC,23h50m41.77s,357.674034,+50d21m17.86s,50.354962,-8.031,-5.705,2458766.208,5.13664,4.45,930.0,7.041519999999999,5106.92,2355.0,10.06,605.832,9238.0,4.08,2.32,12/5/2019 21:41,1/9/2021 12:01
629,1544.01,1544,455791689,455791689.0,1,PC,23h05m23.37s,346.347361,+46d54m11.22s,46.903117,-8.539,-2.661,2458739.309,1.29165,1.3230000000000002,860.0,7.041519999999999,353.25300000000004,1207.0,10.4143,454.3057,4630.4,4.08,2.32,12/5/2019 21:41,10/30/2020 1:59
630,1545.01,1545,127425841,127425841.0,1,FP,00h24m07.35s,6.0306169999999995,+40d09m56.06s,40.165571,-11.617,-11.107999999999999,2458765.872,1.51614,1.9180000000000001,2060.98999,10.1779,2725.939941,2013.0,9.83204,355.69,6905.299805,4.03,2.04,12/5/2019 21:41,3/4/2020 12:58
631,1546.01,1546,194203348,194203348.0,1,PC,00h04m47.24s,1.196825,+41d35m37.97s,41.59388,-23.294,-29.276999999999997,2458764.833,1.13345,1.8940000000000001,490.0,3.03424,3611.25,2159.0,9.877310000000001,210.101,6223.0,4.23,1.4,12/5/2019 21:41,11/17/2020 12:00
632,1547.01,1547,409520860,409520860.0,1,FP,23h41m48.45s,355.45189300000004,+37d11m11.64s,37.186566,-0.11,-16.194000000000003,2458765.114,0.71933,1.474,478.82299800000004,3.4564800000000004,3964.330078,2210.0,10.3973,241.296,5758.0,4.21,1.44,12/5/2019 21:41,3/4/2020 12:58
633,1548.01,1548,440100539,440100539.0,1,PC,00h17m26.04s,4.358519,+42d16m55.93s,42.282204,81.016,-27.725,2458769.324,12.6017,4.835,800.0,3.34292,135.06799999999998,949.0,8.7282,96.5232,5861.6,4.3,1.21,12/5/2019 21:41,1/9/2021 12:01
634,1549.01,1549,191146556,191146556.0,1,FP,00h33m13.05s,8.304382,+46d20m25.1s,46.340305,-8.443,-6.785,2458766.835,2.58593,3.182,7140.029785,14.1871,5255.410156,2372.0,10.3959,282.83299999999997,6116.5,4.18,1.53,12/5/2019 21:41,3/4/2020 12:58
635,155.01,155,129637892,129637892.0,1,PC,21h24m27.6s,321.11498,-37d51m00.65s,-37.850181,7.193,-6.279,2458326.744,5.43636,5.974,8232.200195,18.3741,5255.410156,2372.0,9.0284,187.13099999999997,6220.5,3.99,1.84,9/5/2018 18:34,9/19/2020 12:00
636,1550.01,1550,241065596,241065596.0,1,FP,01h26m56.69s,21.736201,+49d23m19.15s,49.388653000000005,1.485,-0.782,2458765.127,1.62315,1.4380000000000002,2470.0,20.948,1004.5,1568.0,10.2936,816.238,6628.0,3.43,4.06,12/5/2019 21:41,3/4/2020 12:58
637,1551.01,1551,288348498,288348498.0,1,PC,01h18m48.09s,19.700387,+41d30m22s,41.506112,-11.252,-16.637999999999998,2458765.111,1.67546,1.202,1250.0,6.4488900000000005,855.7869999999999,1506.0,9.967,313.22900000000004,6745.5,4.09,1.78,12/5/2019 21:41,11/17/2020 12:00
638,1552.01,1552,326919774,326919774.0,1,PC,01h31m53.51s,22.972973,+46d23m59.37s,46.399826000000004,-5.702000000000001,-4.439,2458771.772,7.57193,2.656,420.0,10.2119,795.635,1479.0,8.19,519.941,9146.0,3.45,4.72,12/5/2019 21:41,11/17/2020 12:00
639,1553.01,1553,327341626,327341626.0,1,APC,01h38m45.72s,24.690503,+42d40m39.86s,42.677739,10.862,-10.267999999999999,2458768.4069999997,5.93815,2.467,5090.0,19.9984,873.224976,1514.0,10.3478,441.44,6775.5,3.97,2.06,12/5/2019 21:41,11/30/2020 3:13
640,1554.01,1554,299158887,299158887.0,1,KP,19h16m54.31s,289.226288,+49d32m53.81s,49.548281,14.337,23.364,2458690.161,9.435260000000001,2.655304,4037.600586,5.975876,96.57843000000001,799.539246,11.0579,194.033,5450.399902,4.48,0.938168,12/6/2019 22:17,12/20/2019 12:00
641,1555.01,1555,441732151,441732151.0,1,FP,17h11m30.42s,257.876742,+72d08m08s,72.13555500000001,1.411,11.342,2458712.089,2.0998900000000003,0.9079999999999999,27336.40039,10.1564,422.490997,1263.0,10.1688,169.78799999999998,6025.299805,4.46,1.04,12/19/2019 20:58,9/18/2020 12:02
642,1556.01,1556,405794804,405794804.0,1,FP,21h38m51.46s,324.714399,+65d02m21.02s,65.039172,8.796,3.611,2458740.219,1.44127,2.605,2750.0,9.20279,22433.7,3409.0,9.79455,315.38599999999997,8009.0,4.29,1.65,12/19/2019 20:58,5/20/2020 16:00
643,1557.01,1557,320506985,320506985.0,1,PC,00h32m39.26s,8.163572,+54d39m16.54s,54.654593999999996,18.637999999999998,-1.4340000000000002,2458765.319,1.08697,1.9669999999999999,860.0,4.98445,2889.01,2042.0,10.4925,285.876,5751.0,4.0,1.69,12/19/2019 20:58,1/9/2021 12:01
644,1558.01,1558,117322779,117322779.0,1,FP,03h13m24.54s,48.352264,+49d47m01.53s,49.783757,18.637999999999998,-1.4340000000000002,2458791.0730000003,0.68601,1.614,910.0,4.98445,2889.01,2042.0,10.485,285.876,5751.0,4.0,1.69,12/19/2019 20:58,11/24/2020 12:00
645,1559.01,1559,241040309,241040309.0,1,PC,01h22m52.18s,20.717398,+48d57m19.31s,48.955364,3.798,-6.27,2458764.9390000002,3.4647900000000003,1.0090000000000001,1150.0,9.20223,387.778,1236.0,10.3978,685.2510000000001,8455.3,3.95,2.54,12/19/2019 20:58,11/17/2020 12:00
646,156.01,156,220518305,220518305.0,1,FP,02h45m52.22s,41.467597999999995,-64d19m14.47s,-64.320687,29.82,4.632,2458336.1319999998,14.148929999999998,3.765,18638.30078,21.7799,387.778,1236.0,10.294,234.138,5823.899902,4.6,1.45,9/5/2018 18:34,12/17/2019 10:00
647,1560.01,1560,241076290,241076290.0,1,PC,01h56m07.89s,29.032856,+52d35m07.74s,52.58548199999999,3.483,-4.865,2458790.848,0.25792,0.475,950.0,8.51808,46846.6,4098.0,10.1942,560.222,9035.0,4.16,2.09,12/19/2019 20:58,11/17/2020 12:00
648,1561.01,1561,245462406,245462406.0,1,FP,02h35m17.21s,38.821696,+55d42m11.58s,55.703217,7.132999999999999,-7.667999999999999,2458791.817,2.2745599999999997,3.32,1020.0,13.265999999999998,21521.5,3374.0,10.2948,551.6659999999999,6777.0,3.55,3.35,12/19/2019 20:58,12/28/2020 12:01
